SampleLabel,SampleType,CarbonationState,Condition,ClLevel_wtPct_NaCl,ClLevel_wtPct_Cl_by_cement,Repeat,E_corr_V_vs_SCE,i_corr_uA_per_cm2,beta_a_V_per_dec,beta_c_V_per_dec,ConditionTime_or_RH
7N,Mortar,Non-carbonated,RH95,5,2.24,3,-0.46,11.894,0.888,-0.25,RH95
7N,Mortar,Non-carbonated,Submerged,0,0,1,-0.124,0.115,0.773,-0.134,Submerged
7N,Mortar,Non-carbonated,Submerged,0,0,2,-0.094,0.084,0.652,-0.133,Submerged
7N,Mortar,Non-carbonated,Submerged,0,0,3,-0.073,0.066,0.494,-0.143,Submerged
7N,Mortar,Non-carbonated,Submerged,0.5,0.21,1,-0.314,0.33,0.392,-0.213,Submerged
7N,Mortar,Non-carbonated,Submerged,0.5,0.21,2,-0.203,0.277,0.881,-0.205,Submerged
7N,Mortar,Non-carbonated,Submerged,0.5,0.21,3,-0.149,0.207,0.849,-0.171,Submerged
7N,Mortar,Non-carbonated,Submerged,1,0.43,1,-0.541,3.067,0.827,-0.423,Submerged
7N,Mortar,Non-carbonated,Submerged,1,0.43,2,-0.488,1.637,0.56,-0.362,Submerged
7N,Mortar,Non-carbonated,Submerged,1,0.43,3,-0.556,1.773,0.728,-0.298,Submerged
7N,Mortar,Non-carbonated,Submerged,2,0.87,1,-0.684,5.238,1.754,-0.255,Submerged
7N,Mortar,Non-carbonated,Submerged,2,0.87,2,-0.607,1.84,1.137,-0.166,Submerged
7N,Mortar,Non-carbonated,Submerged,2,0.87,3,-0.645,3.444,2.15,-0.226,Submerged
7N,Mortar,Non-carbonated,Submerged,3,1.31,1,-0.727,11.252,1.598,-0.224,Submerged
7N,Mortar,Non-carbonated,Submerged,3,1.31,2,-0.707,10.861,1.593,-0.199,Submerged
7N,Mortar,Non-carbonated,Submerged,3,1.31,3,-0.72,10.413,1.271,-0.203,Submerged
7N,Mortar,Non-carbonated,Submerged,5,2.24,1,-0.75,33.796,1.372,-0.129,Submerged
7N,Mortar,Non-carbonated,Submerged,5,2.24,2,-0.756,24.4,1.013,-0.147,Submerged
7N,Mortar,Non-carbonated,Submerged,5,2.24,3,-0.752,32.951,1.084,-0.262,Submerged
7C,Mortar,Carbonated,RH65,0,0,1,-0.091,0.214,0.565,-0.504,RH65
7C,Mortar,Carbonated,RH65,0,0,2,-0.111,0.223,0.548,-0.48,RH65
7C,Mortar,Carbonated,RH65,0,0,3,-0.078,0.22,0.544,-0.403,RH65
7C,Mortar,Carbonated,RH65,0.5,0.21,1,-0.378,0.409,0.468,-0.319,RH65
7C,Mortar,Carbonated,RH65,0.5,0.21,2,-0.356,0.374,0.489,-0.357,RH65
7C,Mortar,Carbonated,RH65,0.5,0.21,3,-0.353,0.448,0.479,-0.339,RH65
7C,Mortar,Carbonated,RH65,1,0.43,1,-0.432,0.457,0.404,-0.331,RH65
7C,Mortar,Carbonated,RH65,1,0.43,2,-0.427,0.623,0.435,-0.364,RH65
7C,Mortar,Carbonated,RH65,1,0.43,3,-0.41,0.614,0.428,-0.361,RH65
7C,Mortar,Carbonated,RH65,2,0.87,1,-0.465,1.318,0.612,-0.445,RH65
7C,Mortar,Carbonated,RH65,2,0.87,2,-0.475,1.79,0.587,-0.525,RH65
7C,Mortar,Carbonated,RH65,2,0.87,3,-0.46,1.522,0.457,-0.385,RH65
7C,Mortar,Carbonated,RH65,3,1.31,1,-0.473,1.904,0.504,-0.441,RH65
7C,Mortar,Carbonated,RH65,3,1.31,2,-0.485,2.394,0.479,-0.482,RH65
7C,Mortar,Carbonated,RH65,3,1.31,3,-0.479,3.056,0.496,-0.543,RH65
7C,Mortar,Carbonated,RH65,5,2.24,1,-0.506,4.796,0.443,-0.533,RH65
7C,Mortar,Carbonated,RH65,5,2.24,2,-0.508,5.913,0.398,-0.546,RH65
7C,Mortar,Carbonated,RH65,5,2.24,3,-0.512,4.609,0.436,-0.513,RH65
7C,Mortar,Carbonated,RH85,0,0,1,-0.147,0.152,0.314,-0.415,RH85
7C,Mortar,Carbonated,RH85,0,0,2,-0.081,0.091,0.286,-0.339,RH85
7C,Mortar,Carbonated,RH85,0,0,3,-0.082,0.135,0.397,-0.374,RH85
7C,Mortar,Carbonated,RH85,0.5,0.21,1,-0.327,1.536,0.426,-0.547,RH85
7C,Mortar,Carbonated,RH85,0.5,0.21,2,-0.348,1.024,0.354,-0.363,RH85
7C,Mortar,Carbonated,RH85,0.5,0.21,3,-0.382,1.06,0.455,-0.393,RH85
7C,Mortar,Carbonated,RH85,1,0.43,1,-0.403,1.239,0.675,-0.383,RH85
7C,Mortar,Carbonated,RH85,1,0.43,2,-0.387,2.154,0.584,-0.555,RH85
7C,Mortar,Carbonated,RH85,1,0.43,3,-0.353,1.716,0.39,-0.464,RH85
7C,Mortar,Carbonated,RH85,2,0.87,1,-0.447,2.835,0.398,-0.576,RH85
7C,Mortar,Carbonated,RH85,2,0.87,2,-0.454,3.205,0.459,-0.56,RH85
7C,Mortar,Carbonated,RH85,2,0.87,3,-0.46,3.926,0.428,-0.579,RH85
7C,Mortar,Carbonated,RH85,3,1.31,1,-0.471,3.831,0.62,-0.403,RH85
7C,Mortar,Carbonated,RH85,3,1.31,2,-0.481,4.808,0.543,-0.439,RH85
7C,Mortar,Carbonated,RH85,3,1.31,3,-0.489,6.468,0.462,-0.556,RH85
7C,Mortar,Carbonated,RH85,5,2.24,1,-0.528,9.217,0.455,-0.517,RH85
7C,Mortar,Carbonated,RH85,5,2.24,2,-0.523,9.792,0.62,-0.495,RH85
7C,Mortar,Carbonated,RH85,5,2.24,3,-0.52,6.72,0.648,-0.458,RH85
7C,Mortar,Carbonated,RH95,0,0,1,-0.334,0.733,0.745,-0.547,RH95
